player,role,year,format,matches,innings,runs,batting_avg,strike_rate,hundreds,fifties,wickets,bowling_avg,economy,five_wickets,powerplay_runs,powerplay_balls,powerplay_wickets,powerplay_economy,middle_runs,middle_balls,middle_wickets,middle_economy,death_runs,death_balls,death_wickets,death_economy
Babar Azam,Batter,2020,Test,9,18,755,41.94,49.8,2,7,0,45.4,3.23,0,274,541,0,0.0,332,677,0,0.0,149,235,0,0.0
Babar Azam,Batter,2021,T20,12,12,491,40.92,126.7,1,4,3,50.21,7.5,1,180,139,0,0.0,224,179,0,0.0,87,54,0,0.0
Babar Azam,Batter,2021,ODI,13,13,485,37.31,96.5,1,4,3,39.44,5.42,0,156,159,0,0.0,253,266,0,0.0,76,62,0,0.0
Babar Azam,Batter,2021,Test,14,28,743,26.54,48.7,3,7,15,38.93,4.04,0,283,572,0,0.0,342,713,0,0.0,118,190,0,0.0
Babar Azam,Batter,2022,T20,13,13,645,49.62,131.6,1,5,2,45.5,7.49,0,231,172,0,0.0,325,250,0,0.0,89,53,0,0.0
Babar Azam,Batter,2022,ODI,20,20,332,16.6,80.0,0,3,17,45.72,5.0,0,133,163,0,0.0,150,190,0,0.0,49,48,0,0.0
Babar Azam,Batter,2022,Test,5,10,569,56.9,48.9,1,4,0,45.33,3.15,1,245,493,0,0.0,262,544,0,0.0,62,99,0,0.0
Babar Azam,Batter,2023,T20,19,19,710,37.37,141.3,2,5,10,51.7,7.33,0,286,199,0,0.0,314,225,0,0.0,110,61,0,0.0
Babar Azam,Batter,2023,ODI,19,19,519,27.32,82.6,2,4,2,47.01,5.51,0,184,219,0,0.0,252,309,0,0.0,83,79,0,0.0
Babar Azam,Batter,2023,Test,14,28,413,14.75,64.8,2,3,5,43.64,2.5,0,140,212,0,0.0,174,272,0,0.0,99,120,0,0.0
Babar Azam,Batter,2024,T20,13,13,713,54.85,128.5,3,5,0,45.39,7.36,0,289,221,0,0.0,337,266,0,0.0,87,53,0,0.0
Babar Azam,Batter,2024,ODI,20,20,791,39.55,82.0,2,7,8,53.64,4.74,1,296,355,0,0.0,347,429,0,0.0,148,142,0,0.0
Babar Azam,Batter,2024,Test,14,28,576,20.57,45.2,2,5,8,36.4,3.49,0,201,437,0,0.0,256,575,0,0.0,119,207,0,0.0
Mohammad Rizwan,Batter,2015,T20,20,20,544,27.2,139.6,2,4,7,48.23,6.65,0,225,163,0,0.0,241,180,0,0.0,78,43,0,0.0
Mohammad Rizwan,Batter,2015,ODI,6,6,731,121.83,86.0,2,7,1,42.22,5.58,0,293,346,0,0.0,301,366,0,0.0,137,123,0,0.0
Mohammad Rizwan,Batter,2015,Test,12,24,658,27.42,60.2,1,6,7,46.86,2.26,1,275,463,0,0.0,287,499,0,0.0,96,123,0,0.0
Mohammad Rizwan,Batter,2016,T20,8,8,513,64.12,113.0,2,5,17,43.05,8.66,1,211,189,0,0.0,225,208,0,0.0,77,52,0,0.0
Mohammad Rizwan,Batter,2016,ODI,6,6,267,44.5,80.0,0,2,3,47.48,5.04,0,105,133,0,0.0,79,103,0,0.0,83,80,0,0.0
Mohammad Rizwan,Batter,2016,Test,20,40,592,14.8,50.5,1,5,5,42.68,3.49,0,286,575,0,0.0,249,516,0,0.0,57,87,0,0.0
Mohammad Rizwan,Batter,2017,T20,15,15,854,56.93,133.6,2,8,8,43.88,7.29,1,354,269,0,0.0,348,273,0,0.0,152,88,0,0.0
Mohammad Rizwan,Batter,2017,ODI,18,18,617,34.28,80.7,2,6,18,39.74,5.78,1,253,318,0,0.0,255,331,0,0.0,109,104,0,0.0
Mohammad Rizwan,Batter,2017,Test,9,18,626,34.78,57.0,1,5,0,42.33,3.53,0,249,443,0,0.0,270,496,0,0.0,107,145,0,0.0
Mohammad Rizwan,Batter,2018,T20,6,6,492,82.0,122.9,1,5,0,50.06,7.49,1,177,146,0,0.0,204,174,0,0.0,111,69,0,0.0
Mohammad Rizwan,Batter,2018,ODI,5,5,293,58.6,96.0,0,3,0,41.8,5.31,1,108,114,0,0.0,103,112,0,0.0,82,66,0,0.0
Mohammad Rizwan,Batter,2018,Test,19,38,505,13.29,35.2,2,4,6,43.57,2.62,1,208,600,0,0.0,211,628,0,0.0,86,189,0,0.0
Mohammad Rizwan,Batter,2019,T20,14,14,527,37.64,137.7,1,5,13,45.13,7.51,0,235,173,0,0.0,205,156,0,0.0,87,48,0,0.0
Mohammad Rizwan,Batter,2019,ODI,13,13,613,47.15,103.2,2,5,2,35.46,5.16,0,275,270,0,0.0,285,289,0,0.0,53,39,0,0.0
Mohammad Rizwan,Batter,2019,Test,8,16,660,41.25,42.6,1,6,7,43.05,3.41,1,296,705,0,0.0,275,676,0,0.0,89,161,0,0.0
Mohammad Rizwan,Batter,2020,T20,12,12,532,44.33,141.6,1,5,0,44.54,7.49,0,240,172,0,0.0,212,156,0,0.0,80,43,0,0.0
Mohammad Rizwan,Batter,2020,ODI,18,18,622,34.56,88.0,1,6,1,49.35,4.83,0,281,324,0,0.0,275,327,0,0.0,66,58,0,0.0
Mohammad Rizwan,Batter,2020,Test,17,34,456,13.41,48.6,2,4,0,41.41,3.86,0,191,399,0,0.0,189,407,0,0.0,76,121,0,0.0
Mohammad Rizwan,Batter,2021,T20,10,10,455,45.5,138.2,2,3,7,50.88,7.68,1,198,145,0,0.0,200,151,0,0.0,57,31,0,0.0
Mohammad Rizwan,Batter,2021,ODI,20,20,680,34.0,87.2,1,5,0,41.95,5.67,0,299,348,0,0.0,275,330,0,0.0,106,94,0,0.0
Mohammad Rizwan,Batter,2021,Test,14,28,590,21.07,63.5,2,4,3,45.71,2.83,1,216,345,0,0.0,269,444,0,0.0,105,127,0,0.0
Mohammad Rizwan,Batter,2022,T20,14,14,674,48.14,130.5,2,5,9,48.22,8.16,1,271,210,0,0.0,275,220,0,0.0,128,75,0,0.0
Mohammad Rizwan,Batter,2022,ODI,15,15,742,49.47,88.2,2,6,0,39.44,5.18,0,307,353,0,0.0,301,357,0,0.0,134,117,0,0.0
Mohammad Rizwan,Batter,2022,Test,15,30,765,25.5,62.5,3,7,4,49.99,1.88,0,311,505,0,0.0,318,533,0,0.0,136,168,0,0.0
Mohammad Rizwan,Batter,2023,T20,10,10,399,39.9,131.5,1,3,0,43.7,7.63,1,143,110,0,0.0,158,125,0,0.0,98,57,0,0.0
Mohammad Rizwan,Batter,2023,ODI,11,11,600,54.55,74.2,1,5,0,39.84,5.59,0,249,340,0,0.0,252,356,0,0.0,99,103,0,0.0
Mohammad Rizwan,Batter,2023,Test,19,38,818,21.53,65.6,2,7,9,40.07,2.79,0,338,523,0,0.0,354,565,0,0.0,126,148,0,0.0
Mohammad Rizwan,Batter,2024,T20,5,5,677,135.4,128.3,1,5,6,46.51,7.94,0,291,230,0,0.0,285,232,0,0.0,101,60,0,0.0
Mohammad Rizwan,Batter,2024,ODI,18,18,519,28.83,84.5,1,4,1,46.71,5.23,0,224,269,0,0.0,224,277,0,0.0,71,65,0,0.0
Mohammad Rizwan,Batter,2024,Test,15,30,583,19.43,78.8,1,4,7,52.98,2.6,1,235,302,0,0.0,237,315,0,0.0,111,109,0,0.0
Fakhar Zaman,Batter,2015,T20,6,6,645,107.5,129.7,1,6,13,51.97,7.93,0,304,214,0,0.0,296,221,0,0.0,45,28,0,0.0
Fakhar Zaman,Batter,2015,ODI,8,8,604,75.5,98.7,1,6,0,42.74,5.54,0,275,255,0,0.0,188,184,0,0.0,141,116,0,0.0
Fakhar Zaman,Batter,2015,Test,12,24,890,37.08,44.8,3,7,2,50.59,3.1,1,417,852,0,0.0,390,844,0,0.0,83,150,0,0.0
Fakhar Zaman,Batter,2016,T20,5,5,893,178.6,143.3,2,8,8,40.86,7.38,1,445,284,0,0.0,348,235,0,0.0,100,56,0,0.0
Fakhar Zaman,Batter,2016,ODI,10,10,504,50.4,85.1,1,4,0,42.97,5.36,0,233,250,0,0.0,118,134,0,0.0,153,146,0,0.0
Fakhar Zaman,Batter,2016,Test,18,36,640,17.78,66.5,1,6,0,34.52,3.0,1,295,406,0,0.0,261,380,0,0.0,84,102,0,0.0
Fakhar Zaman,Batter,2017,T20,19,19,586,30.84,143.6,1,4,2,44.64,7.77,0,274,174,0,0.0,204,137,0,0.0,108,61,0,0.0
Fakhar Zaman,Batter,2017,ODI,20,20,613,30.65,73.6,1,5,15,39.25,4.96,0,296,368,0,0.0,241,317,0,0.0,76,83,0,0.0
Fakhar Zaman,Batter,2017,Test,10,20,483,24.15,64.7,1,4,0,33.59,3.37,0,256,362,0,0.0,185,277,0,0.0,42,52,0,0.0
Fakhar Zaman,Batter,2018,T20,13,13,507,39.0,120.8,1,4,8,38.59,7.93,0,233,176,0,0.0,198,159,0,0.0,76,51,0,0.0
Fakhar Zaman,Batter,2018,ODI,20,20,592,29.6,98.9,1,4,0,48.08,6.07,0,293,271,0,0.0,235,230,0,0.0,64,52,0,0.0
Fakhar Zaman,Batter,2018,Test,20,40,644,16.1,60.8,1,5,0,40.65,3.91,0,334,502,0,0.0,268,427,0,0.0,42,56,0,0.0
Fakhar Zaman,Batter,2019,T20,13,13,446,34.31,140.4,1,4,15,50.28,7.81,1,218,142,0,0.0,167,115,0,0.0,61,35,0,0.0
Fakhar Zaman,Batter,2019,ODI,15,15,183,12.2,99.4,0,1,0,39.93,4.66,1,107,98,0,0.0,72,70,0,0.0,4,3,0,0.0
Fakhar Zaman,Batter,2019,Test,18,36,711,19.75,46.5,3,5,2,39.77,3.99,0,351,691,0,0.0,269,561,0,0.0,91,159,0,0.0
Fakhar Zaman,Batter,2020,T20,18,18,901,50.06,129.2,2,7,2,46.58,7.72,0,429,303,0,0.0,351,263,0,0.0,121,76,0,0.0
Fakhar Zaman,Batter,2020,ODI,15,15,424,28.27,90.1,2,3,0,54.14,4.96,0,192,195,0,0.0,159,171,0,0.0,73,65,0,0.0
Fakhar Zaman,Batter,2020,Test,7,14,631,45.07,41.3,1,6,1,43.99,3.22,0,304,673,0,0.0,263,617,0,0.0,64,125,0,0.0
Fakhar Zaman,Batter,2021,T20,9,9,462,51.33,151.7,1,4,9,40.92,7.46,0,213,128,0,0.0,152,97,0,0.0,97,51,0,0.0
Fakhar Zaman,Batter,2021,ODI,14,14,683,48.79,77.8,2,5,13,38.38,4.81,0,316,371,0,0.0,271,337,0,0.0,96,100,0,0.0
Fakhar Zaman,Batter,2021,Test,8,16,323,20.19,42.4,0,3,19,38.38,3.03,0,171,369,0,0.0,138,315,0,0.0,14,26,0,0.0
Fakhar Zaman,Batter,2022,T20,7,7,376,53.71,124.4,1,4,0,49.52,7.57,0,173,127,0,0.0,144,112,0,0.0,59,38,0,0.0
Fakhar Zaman,Batter,2022,ODI,14,14,552,39.43,75.7,1,5,0,39.6,4.89,0,272,328,0,0.0,223,285,0,0.0,57,61,0,0.0
Fakhar Zaman,Batter,2022,Test,15,30,505,16.83,80.6,1,4,5,54.22,2.94,0,240,272,0,0.0,196,235,0,0.0,69,69,0,0.0
Fakhar Zaman,Batter,2023,T20,11,11,688,62.55,137.0,2,6,0,41.37,7.54,1,317,211,0,0.0,254,179,0,0.0,117,69,0,0.0
Fakhar Zaman,Batter,2023,ODI,14,14,527,37.64,88.9,2,4,0,45.29,4.71,0,235,242,0,0.0,189,206,0,0.0,103,94,0,0.0
Fakhar Zaman,Batter,2023,Test,15,30,527,17.57,58.4,2,4,0,45.27,3.05,0,256,401,0,0.0,202,335,0,0.0,69,95,0,0.0
Fakhar Zaman,Batter,2024,T20,8,8,694,86.75,143.4,1,5,9,44.49,7.73,0,343,218,0,0.0,260,175,0,0.0,91,51,0,0.0
Fakhar Zaman,Batter,2024,ODI,12,12,474,39.5,86.9,1,3,5,52.46,5.3,0,209,220,0,0.0,145,161,0,0.0,120,112,0,0.0
Fakhar Zaman,Batter,2024,Test,15,30,709,23.63,51.7,2,6,8,38.15,4.38,1,325,575,0,0.0,299,561,0,0.0,85,133,0,0.0
Imam-ul-Haq,Batter,2015,T20,7,7,405,57.86,150.2,1,3,15,46.75,8.26,0,155,116,0,0.0,205,150,0,0.0,45,26,0,0.0
Imam-ul-Haq,Batter,2015,ODI,12,12,808,67.33,77.9,2,7,5,40.68,6.04,0,331,480,0,0.0,402,568,0,0.0,75,86,0,0.0
Imam-ul-Haq,Batter,2015,Test,20,40,304,7.6,56.0,1,2,7,47.46,3.53,1,121,244,0,0.0,120,236,0,0.0,63,100,0,0.0
Imam-ul-Haq,Batter,2016,T20,19,19,695,36.58,149.2,2,6,0,46.08,7.23,1,257,194,0,0.0,333,245,0,0.0,105,63,0,0.0
Imam-ul-Haq,Batter,2016,ODI,11,11,622,56.55,79.0,1,6,5,40.67,5.42,0,262,374,0,0.0,278,387,0,0.0,82,93,0,0.0
Imam-ul-Haq,Batter,2016,Test,7,14,638,45.57,58.1,2,6,4,46.44,2.65,0,254,494,0,0.0,273,517,0,0.0,111,171,0,0.0
Imam-ul-Haq,Batter,2017,T20,20,20,629,31.45,131.0,1,6,11,45.73,8.52,0,261,225,0,0.0,279,234,0,0.0,89,60,0,0.0
Imam-ul-Haq,Batter,2017,ODI,7,7,671,95.86,63.7,1,5,6,45.61,5.3,0,277,491,0,0.0,308,532,0,0.0,86,121,0,0.0
Imam-ul-Haq,Batter,2017,Test,13,26,831,31.96,60.0,2,7,14,49.21,3.12,0,335,631,0,0.0,362,664,0,0.0,134,200,0,0.0
Imam-ul-Haq,Batter,2018,T20,17,17,702,41.29,119.8,2,6,0,32.59,8.76,0,271,255,0,0.0,327,300,0,0.0,104,77,0,0.0
Imam-ul-Haq,Batter,2018,ODI,20,20,830,41.5,87.4,3,7,14,43.86,5.38,0,299,386,0,0.0,402,506,0,0.0,129,132,0,0.0
Imam-ul-Haq,Batter,2018,Test,18,36,638,17.72,65.6,1,6,14,52.79,2.82,0,278,479,0,0.0,307,515,0,0.0,53,72,0,0.0
Imam-ul-Haq,Batter,2019,T20,15,15,353,23.53,136.6,2,3,12,44.5,7.9,0,148,122,0,0.0,156,125,0,0.0,49,32,0,0.0
Imam-ul-Haq,Batter,2019,ODI,15,15,371,24.73,78.6,2,4,6,49.77,4.88,0,146,209,0,0.0,146,204,0,0.0,79,90,0,0.0
Imam-ul-Haq,Batter,2019,Test,14,28,914,32.64,58.9,2,7,6,48.14,2.5,0,367,704,0,0.0,427,798,0,0.0,120,182,0,0.0
Imam-ul-Haq,Batter,2020,T20,17,17,578,34.0,142.1,1,5,13,47.14,8.27,0,257,204,0,0.0,219,169,0,0.0,102,64,0,0.0
Imam-ul-Haq,Batter,2020,ODI,9,9,867,96.33,74.9,2,8,1,54.62,4.92,0,355,535,0,0.0,386,567,0,0.0,126,150,0,0.0
Imam-ul-Haq,Batter,2020,Test,20,40,699,17.48,66.0,1,5,0,44.88,3.09,0,281,481,0,0.0,286,477,0,0.0,132,179,0,0.0
Imam-ul-Haq,Batter,2021,T20,12,12,687,57.25,113.3,2,6,1,43.63,7.83,0,267,266,0,0.0,356,346,0,0.0,64,50,0,0.0
Imam-ul-Haq,Batter,2021,ODI,19,19,446,23.47,101.8,1,4,0,39.06,5.37,1,188,208,0,0.0,202,218,0,0.0,56,49,0,0.0
Imam-ul-Haq,Batter,2021,Test,10,20,445,22.25,53.6,1,3,0,47.21,2.91,1,156,329,0,0.0,197,404,0,0.0,92,153,0,0.0
Imam-ul-Haq,Batter,2022,T20,7,7,528,75.43,119.8,1,5,0,49.48,8.15,0,221,208,0,0.0,208,191,0,0.0,99,74,0,0.0
Imam-ul-Haq,Batter,2022,ODI,18,18,593,32.94,78.7,1,5,5,52.04,5.32,1,237,340,0,0.0,253,354,0,0.0,103,117,0,0.0
Imam-ul-Haq,Batter,2022,Test,17,34,686,20.18,47.1,1,6,17,52.36,2.71,0,296,710,0,0.0,307,718,0,0.0,83,157,0,0.0
Imam-ul-Haq,Batter,2023,T20,12,12,613,51.08,132.6,2,6,0,46.66,7.54,0,237,202,0,0.0,274,227,0,0.0,102,68,0,0.0
Imam-ul-Haq,Batter,2023,ODI,8,8,463,57.88,83.8,1,3,1,42.41,4.98,0,193,260,0,0.0,232,305,0,0.0,38,40,0,0.0
Imam-ul-Haq,Batter,2023,Test,19,38,492,12.95,48.7,1,5,0,43.02,2.6,1,222,515,0,0.0,227,513,0,0.0,43,79,0,0.0
Imam-ul-Haq,Batter,2024,T20,11,11,722,65.64,130.8,2,6,11,47.84,8.25,0,287,248,0,0.0,329,277,0,0.0,106,72,0,0.0
Imam-ul-Haq,Batter,2024,ODI,8,8,554,69.25,91.5,1,4,0,50.77,5.36,0,212,261,0,0.0,280,337,0,0.0,62,60,0,0.0
Imam-ul-Haq,Batter,2024,Test,11,22,728,33.09,51.0,3,6,4,47.35,3.06,1,293,649,0,0.0,326,704,0,0.0,109,191,0,0.0
Abdullah Shafique,Batter,2015,T20,19,19,727,38.26,137.7,2,7,15,55.01,8.08,0,255,191,0,0.0,360,271,0,0.0,112,68,0,0.0
Abdullah Shafique,Batter,2015,ODI,8,8,542,67.75,68.8,1,5,14,43.28,5.97,1,192,287,0,0.0,279,421,0,0.0,71,86,0,0.0
Abdullah Shafique,Batter,2015,Test,9,18,490,27.22,48.0,1,5,13,45.86,3.14,1,159,341,0,0.0,232,502,0,0.0,99,172,0,0.0
Abdullah Shafique,Batter,2016,T20,12,12,381,31.75,134.7,1,3,17,46.12,8.06,0,144,110,0,0.0,176,135,0,0.0,61,37,0,0.0
Abdullah Shafique,Batter,2016,ODI,6,6,405,67.5,93.6,1,3,11,39.91,5.7,0,163,179,0,0.0,173,192,0,0.0,69,61,0,0.0
Abdullah Shafique,Batter,2016,Test,19,38,591,15.55,46.1,1,5,0,38.37,1.73,1,207,463,0,0.0,284,640,0,0.0,100,181,0,0.0
Abdullah Shafique,Batter,2017,T20,12,12,384,32.0,140.1,1,3,0,34.44,7.53,1,165,121,0,0.0,174,129,0,0.0,45,26,0,0.0
Abdullah Shafique,Batter,2017,ODI,12,12,493,41.08,79.8,1,4,3,45.2,5.33,0,173,223,0,0.0,285,371,0,0.0,35,36,0,0.0
Abdullah Shafique,Batter,2017,Test,11,22,739,33.59,59.4,2,6,7,39.74,3.08,0,257,446,0,0.0,369,646,0,0.0,113,159,0,0.0
Abdullah Shafique,Batter,2018,T20,12,12,430,35.83,141.3,1,4,0,38.95,8.1,0,183,133,0,0.0,244,179,0,0.0,3,1,0,0.0
Abdullah Shafique,Batter,2018,ODI,17,17,780,45.88,77.9,3,7,10,45.6,4.28,0,295,390,0,0.0,361,481,0,0.0,124,133,0,0.0
Abdullah Shafique,Batter,2018,Test,7,14,617,44.07,32.5,1,5,3,50.58,2.64,1,226,717,0,0.0,265,848,0,0.0,126,325,0,0.0
Abdullah Shafique,Batter,2019,T20,20,20,615,30.75,142.4,1,5,20,50.22,7.18,0,187,135,0,0.0,285,208,0,0.0,143,84,0,0.0
Abdullah Shafique,Batter,2019,ODI,17,17,732,43.06,84.2,3,7,0,39.84,5.08,0,265,324,0,0.0,317,391,0,0.0,150,149,0,0.0
Abdullah Shafique,Batter,2019,Test,11,22,719,32.68,57.0,2,6,0,41.83,2.74,0,238,430,0,0.0,293,534,0,0.0,188,276,0,0.0
Abdullah Shafique,Batter,2020,T20,12,12,601,50.08,137.6,1,5,0,38.19,7.76,1,232,173,0,0.0,285,215,0,0.0,84,51,0,0.0
Abdullah Shafique,Batter,2020,ODI,10,10,684,68.4,103.1,2,6,5,41.32,3.9,0,236,236,0,0.0,313,315,0,0.0,135,109,0,0.0
Abdullah Shafique,Batter,2020,Test,18,36,674,18.72,64.1,1,6,0,40.81,3.12,0,208,334,0,0.0,330,535,0,0.0,136,177,0,0.0
Abdullah Shafique,Batter,2021,T20,16,16,715,44.69,138.1,2,6,0,44.82,7.75,0,257,192,0,0.0,327,246,0,0.0,131,79,0,0.0
Abdullah Shafique,Batter,2021,ODI,7,7,621,88.71,75.7,2,6,3,41.96,4.65,0,240,327,0,0.0,262,359,0,0.0,119,131,0,0.0
Abdullah Shafique,Batter,2021,Test,8,16,614,38.38,37.5,1,5,8,47.96,3.22,0,219,602,0,0.0,325,901,0,0.0,70,156,0,0.0
Abdullah Shafique,Batter,2022,T20,18,18,311,17.28,143.0,0,2,6,46.02,7.93,0,115,82,0,0.0,123,89,0,0.0,73,42,0,0.0
Abdullah Shafique,Batter,2022,ODI,8,8,518,64.75,93.9,1,4,4,49.99,5.55,0,173,190,0,0.0,255,282,0,0.0,90,80,0,0.0
Abdullah Shafique,Batter,2022,Test,13,26,744,28.62,50.3,2,7,0,51.48,2.86,0,278,570,0,0.0,369,762,0,0.0,97,161,0,0.0
Abdullah Shafique,Batter,2023,T20,17,17,524,30.82,114.1,1,4,0,55.11,7.82,0,183,165,0,0.0,199,181,0,0.0,142,104,0,0.0
Abdullah Shafique,Batter,2023,ODI,9,9,670,74.44,86.8,1,5,0,50.11,4.89,0,226,268,0,0.0,307,367,0,0.0,137,132,0,0.0
Abdullah Shafique,Batter,2023,Test,15,30,590,19.67,64.4,1,5,4,43.4,2.77,0,195,312,0,0.0,287,463,0,0.0,108,140,0,0.0
Abdullah Shafique,Batter,2024,T20,7,7,408,58.29,154.3,2,3,3,40.85,7.89,1,154,102,0,0.0,212,142,0,0.0,42,22,0,0.0
Abdullah Shafique,Batter,2024,ODI,6,6,427,71.17,98.4,1,4,14,47.68,5.67,0,135,141,0,0.0,199,210,0,0.0,93,79,0,0.0
Abdullah Shafique,Batter,2024,Test,12,24,655,27.29,71.2,1,5,0,48.15,3.71,0,264,382,0,0.0,302,441,0,0.0,89,104,0,0.0
Saud Shakeel,Batter,2015,T20,13,13,501,38.54,122.6,1,4,0,51.27,7.47,0,109,97,0,0.0,307,266,0,0.0,85,57,0,0.0
Saud Shakeel,Batter,2015,ODI,12,12,817,68.08,78.9,2,7,0,50.55,5.16,1,132,184,0,0.0,485,655,0,0.0,200,208,0,0.0
Saud Shakeel,Batter,2015,Test,18,36,244,6.78,57.6,0,3,0,46.84,3.21,1,35,66,0,0.0,134,247,0,0.0,75,107,0,0.0
Saud Shakeel,Batter,2016,T20,8,8,534,66.75,132.7,1,5,3,44.87,8.37,0,103,85,0,0.0,327,262,0,0.0,104,64,0,0.0
Saud Shakeel,Batter,2016,ODI,16,16,584,36.5,92.9,1,4,0,45.53,5.24,0,94,111,0,0.0,372,426,0,0.0,118,104,0,0.0
Saud Shakeel,Batter,2016,Test,14,28,685,24.46,45.0,2,5,0,43.33,2.64,1,100,244,0,0.0,414,980,0,0.0,171,312,0,0.0
Saud Shakeel,Batter,2017,T20,8,8,626,78.25,132.2,2,5,19,37.2,7.82,0,138,115,0,0.0,376,303,0,0.0,112,69,0,0.0
Saud Shakeel,Batter,2017,ODI,9,9,645,71.67,79.9,1,5,16,40.98,5.7,0,97,133,0,0.0,403,537,0,0.0,145,149,0,0.0
Saud Shakeel,Batter,2017,Test,10,20,579,28.95,67.6,1,5,3,38.34,1.73,0,89,145,0,0.0,351,553,0,0.0,139,169,0,0.0
Saud Shakeel,Batter,2018,T20,14,14,535,38.21,157.2,2,4,13,51.12,7.01,1,83,58,0,0.0,300,203,0,0.0,152,79,0,0.0
Saud Shakeel,Batter,2018,ODI,9,9,792,88.0,75.3,2,6,7,46.65,6.01,1,134,196,0,0.0,443,626,0,0.0,215,234,0,0.0
Saud Shakeel,Batter,2018,Test,8,16,417,26.06,28.1,1,4,12,43.38,3.72,0,46,180,0,0.0,227,860,0,0.0,144,421,0,0.0
Saud Shakeel,Batter,2019,T20,6,6,725,120.83,143.9,2,7,10,51.9,7.67,0,130,99,0,0.0,430,318,0,0.0,165,94,0,0.0
Saud Shakeel,Batter,2019,ODI,17,17,386,22.71,87.1,1,4,7,29.83,5.1,0,63,79,0,0.0,243,297,0,0.0,80,75,0,0.0
Saud Shakeel,Batter,2019,Test,13,26,447,17.19,47.7,1,3,0,46.9,3.27,1,71,163,0,0.0,238,531,0,0.0,138,238,0,0.0
Saud Shakeel,Batter,2020,T20,5,5,246,49.2,119.7,1,3,2,42.91,7.39,1,36,33,0,0.0,137,121,0,0.0,73,50,0,0.0
Saud Shakeel,Batter,2020,ODI,9,9,487,54.11,88.9,1,5,5,45.38,5.11,1,98,121,0,0.0,250,299,0,0.0,139,128,0,0.0
Saud Shakeel,Batter,2020,Test,20,40,845,21.12,62.4,2,7,20,42.72,3.39,0,170,300,0,0.0,511,872,0,0.0,164,216,0,0.0
Saud Shakeel,Batter,2021,T20,15,15,605,40.33,138.8,1,5,6,48.28,8.0,0,115,91,0,0.0,356,273,0,0.0,134,79,0,0.0
Saud Shakeel,Batter,2021,ODI,14,14,485,34.64,95.5,2,4,4,46.54,6.22,0,76,87,0,0.0,269,300,0,0.0,140,120,0,0.0
Saud Shakeel,Batter,2021,Test,20,40,472,11.8,50.9,1,3,0,42.2,2.42,0,85,183,0,0.0,286,598,0,0.0,101,163,0,0.0
