match_id,date,year,format,opponent,venue,toss_winner,toss_decision,pak_innings,pak_runs,pak_wickets,opp_wickets,overs_played,run_rate,first_innings_score,second_innings_score,winner_innings,top_scorer,top_scorer_runs,top_wicket_taker,top_wickets,result
46,2016-08-02,2016,T20,Australia,Eden Gardens,Australia,Bat,2nd,190,5,7,10.3,18.45,198,190,1st,Salman Agha,49,Naseem Shah,4,Loss
47,2016-09-07,2016,ODI,Australia,Basin Reserve,Australia,Bat,2nd,193,8,7,39.9,4.84,225,193,1st,Imam-ul-Haq,38,Naseem Shah,4,Loss
48,2016-09-15,2016,ODI,Bangladesh,Multan Cricket Stadium,Bangladesh,Field,1st,187,8,4,36.5,5.12,187,148,1st,Abdullah Shafique,56,Imad Wasim,3,Win
49,2016-10-09,2016,ODI,Zimbabwe,Lord's,Pakistan,Field,2nd,220,5,5,23.6,9.32,227,220,1st,Babar Azam,84,Shaheen Afridi,5,Loss
50,2016-10-22,2016,Test,Zimbabwe,Eden Gardens,Pakistan,Field,2nd,368,3,5,66.7,5.52,361,368,2nd,Shan Masood,161,Abrar Ahmed,2,Win
51,2016-10-26,2016,T20,New Zealand,Eden Gardens,New Zealand,Field,1st,128,4,3,9.0,14.22,128,116,1st,Abdullah Shafique,62,Naseem Shah,3,Win
52,2016-11-12,2016,T20,England,Multan Cricket Stadium,England,Field,1st,224,8,7,15.7,14.27,224,193,1st,Mohammad Rizwan,59,Shadab Khan,3,Win
53,2016-12-01,2016,ODI,Sri Lanka,Dubai International,Pakistan,Field,2nd,247,7,9,35.9,6.88,233,247,2nd,Shan Masood,105,Imad Wasim,4,Win
54,2016-12-11,2016,Test,England,Karachi (NSK),Pakistan,Bat,1st,526,6,8,82.1,6.41,526,500,1st,Imam-ul-Haq,206,Zaman Khan,1,Win
55,2016-12-20,2016,Test,India,Lahore (Gaddafi),India,Field,1st,417,5,7,131.4,3.17,417,395,1st,Abdullah Shafique,173,Haris Rauf,5,Win
56,2017-01-01,2017,Test,Bangladesh,Wanderers,Bangladesh,Field,1st,265,7,9,101.4,2.61,265,248,1st,Mohammad Rizwan,83,Shadab Khan,2,Win
57,2017-01-11,2017,T20,Afghanistan,Multan Cricket Stadium,Afghanistan,Field,1st,136,3,5,7.7,17.66,136,125,1st,Saud Shakeel,45,Abrar Ahmed,2,Win
58,2017-01-20,2017,ODI,Zimbabwe,Wanderers,Zimbabwe,Bat,2nd,317,3,5,17.7,17.91,345,317,1st,Salman Agha,117,Haris Rauf,5,Loss
59,2017-01-25,2017,Test,Australia,Lahore (Gaddafi),Pakistan,Bat,1st,346,8,9,117.0,2.96,346,357,2nd,Fakhar Zaman,127,Abrar Ahmed,3,Loss
60,2017-01-28,2017,ODI,West Indies,Wanderers,West Indies,Bat,2nd,247,6,7,29.9,8.26,271,247,1st,Imam-ul-Haq,121,Shaheen Afridi,2,Loss
61,2017-03-06,2017,T20,Zimbabwe,Eden Gardens,Pakistan,Field,2nd,162,3,4,6.7,24.18,151,162,2nd,Salman Agha,56,Abrar Ahmed,3,Win
62,2017-03-08,2017,Test,India,Eden Gardens,Pakistan,Bat,1st,455,9,5,78.7,5.78,455,440,1st,Abdullah Shafique,183,Zaman Khan,5,Win
63,2017-05-02,2017,T20,West Indies,Basin Reserve,West Indies,Bat,2nd,208,3,3,6.3,33.02,196,208,2nd,Babar Azam,99,Zaman Khan,2,Win
64,2017-05-13,2017,T20,Bangladesh,Lahore (Gaddafi),Bangladesh,Field,1st,174,4,5,7.4,23.51,174,161,1st,Fakhar Zaman,73,Imad Wasim,3,Win
65,2017-05-26,2017,Test,Zimbabwe,Rawalpindi Cricket Stadium,Zimbabwe,Bat,2nd,230,8,6,83.4,2.76,230,230,None,Abdullah Shafique,87,Mohammad Wasim Jr,3,Draw
66,2017-06-05,2017,Test,West Indies,Lord's,Pakistan,Field,2nd,455,3,2,92.2,4.93,449,455,2nd,Shan Masood,153,Mohammad Wasim Jr,2,Win
67,2017-06-07,2017,Test,South Africa,MCG,Pakistan,Field,2nd,450,6,9,90.8,4.96,446,450,2nd,Mohammad Rizwan,149,Abrar Ahmed,3,Win
68,2017-06-12,2017,T20,Bangladesh,Rawalpindi Cricket Stadium,Bangladesh,Field,1st,139,5,4,12.0,11.58,139,145,2nd,Abdullah Shafique,64,Abrar Ahmed,4,Loss
69,2017-07-13,2017,Test,Afghanistan,Dubai International,Pakistan,Field,2nd,246,5,7,87.9,2.8,259,246,1st,Fakhar Zaman,105,Abrar Ahmed,3,Loss
70,2017-08-08,2017,T20,West Indies,Karachi (NSK),West Indies,Field,1st,136,6,3,11.9,11.43,136,150,2nd,Salman Agha,67,Zaman Khan,3,Loss
71,2017-08-14,2017,T20,Afghanistan,MCG,Pakistan,Bat,1st,148,4,4,7.1,20.85,148,109,1st,Abdullah Shafique,57,Imad Wasim,3,Win
72,2017-08-16,2017,ODI,Bangladesh,Eden Gardens,Pakistan,Bat,1st,217,3,7,13.7,15.84,217,209,1st,Shan Masood,72,Zaman Khan,3,Win
73,2017-08-22,2017,Test,West Indies,MCG,Pakistan,Bat,1st,305,4,8,50.9,5.99,305,308,2nd,Salman Agha,127,Naseem Shah,3,Loss
74,2017-09-11,2017,Test,South Africa,Eden Gardens,South Africa,Bat,2nd,369,4,8,69.3,5.32,377,369,1st,Shan Masood,148,Haris Rauf,3,Loss
75,2017-09-26,2017,Test,Zimbabwe,Wanderers,Zimbabwe,Bat,2nd,368,10,7,95.3,3.86,393,368,1st,Imam-ul-Haq,153,Shaheen Afridi,4,Loss
76,2017-09-27,2017,Test,India,Multan Cricket Stadium,Pakistan,Bat,1st,322,10,4,87.2,3.69,322,322,None,Mohammad Rizwan,109,Naseem Shah,2,Draw
77,2017-10-13,2017,ODI,Australia,Multan Cricket Stadium,Australia,Field,1st,175,7,3,35.3,4.96,175,181,2nd,Shan Masood,33,Imad Wasim,3,Loss
78,2017-10-20,2017,T20,Zimbabwe,Wanderers,Pakistan,Bat,1st,195,3,7,7.0,27.86,195,177,1st,Abdullah Shafique,77,Imad Wasim,4,Win
79,2017-10-26,2017,T20,South Africa,Lahore (Gaddafi),South Africa,Field,1st,126,10,6,19.4,6.49,126,135,2nd,Imam-ul-Haq,52,Abrar Ahmed,2,Loss
80,2017-11-16,2017,ODI,Sri Lanka,Sharjah Cricket Stadium,Pakistan,Field,2nd,324,9,6,42.3,7.66,314,324,2nd,Fakhar Zaman,99,Mohammad Wasim Jr,3,Win
81,2017-12-28,2017,Test,New Zealand,Eden Gardens,Pakistan,Field,2nd,506,10,6,85.7,5.9,517,506,1st,Shan Masood,211,Shadab Khan,4,Loss
82,2018-01-03,2018,T20,Australia,Abu Dhabi (ADSS),Australia,Bat,2nd,121,9,7,18.5,6.54,116,121,2nd,Shan Masood,8,Shadab Khan,3,Win
83,2018-01-13,2018,T20,Bangladesh,Lord's,Pakistan,Field,2nd,155,4,9,8.0,19.38,152,155,2nd,Salman Agha,22,Shaheen Afridi,2,Win
84,2018-01-13,2018,Test,Australia,Karachi (NSK),Australia,Bat,2nd,386,3,8,48.7,7.93,386,386,None,Salman Agha,152,Shaheen Afridi,2,Draw
85,2018-02-05,2018,ODI,India,Basin Reserve,Pakistan,Bat,1st,282,5,5,24.0,11.75,282,256,1st,Fakhar Zaman,94,Shaheen Afridi,2,Win
86,2018-03-09,2018,ODI,Australia,Multan Cricket Stadium,Pakistan,Bat,1st,311,7,3,30.5,10.2,311,0,None,Babar Azam,106,Naseem Shah,3,No Result
87,2018-04-05,2018,Test,Sri Lanka,Abu Dhabi (ADSS),Sri Lanka,Bat,2nd,460,5,5,39.8,11.56,491,460,1st,Imam-ul-Haq,147,Abrar Ahmed,5,Loss
88,2018-04-11,2018,ODI,Bangladesh,Lahore (Gaddafi),Pakistan,Field,2nd,176,4,5,17.6,10.0,169,176,2nd,Shan Masood,47,Haris Rauf,2,Win
89,2018-04-17,2018,Test,India,Karachi (NSK),Pakistan,Field,2nd,402,5,6,91.5,4.39,400,402,2nd,Fakhar Zaman,152,Abrar Ahmed,3,Win
90,2018-04-25,2018,ODI,Afghanistan,Wanderers,Afghanistan,Bat,2nd,257,9,3,50.0,5.14,297,257,1st,Imam-ul-Haq,122,Haris Rauf,3,Loss
91,2018-04-28,2018,ODI,India,Abu Dhabi (ADSS),Pakistan,Field,2nd,312,4,8,17.4,17.93,295,312,2nd,Babar Azam,127,Shadab Khan,1,Win
92,2018-05-07,2018,Test,New Zealand,MCG,Pakistan,Bat,1st,427,5,10,49.5,8.63,427,437,2nd,Abdullah Shafique,149,Shadab Khan,3,Loss
93,2018-06-09,2018,T20,South Africa,Karachi (NSK),Pakistan,Bat,1st,126,9,5,19.2,6.56,126,101,1st,Saud Shakeel,35,Shaheen Afridi,5,Win
94,2018-06-09,2018,T20,Australia,Basin Reserve,Australia,Bat,2nd,145,6,5,12.4,11.69,165,145,1st,Mohammad Rizwan,27,Shadab Khan,3,Loss
95,2018-06-23,2018,ODI,Sri Lanka,Lord's,Sri Lanka,Field,1st,261,10,9,48.1,5.43,261,223,1st,Saud Shakeel,83,Shadab Khan,3,Win
96,2018-06-26,2018,T20,New Zealand,Eden Gardens,Pakistan,Bat,1st,160,4,3,7.7,20.78,160,0,None,Abdullah Shafique,89,Zaman Khan,3,No Result
97,2018-07-07,2018,Test,India,Lahore (Gaddafi),Pakistan,Bat,1st,397,7,8,58.5,6.79,397,404,2nd,Shan Masood,139,Shadab Khan,6,Loss
98,2018-07-09,2018,T20,Bangladesh,Lord's,Pakistan,Field,2nd,178,8,3,16.4,10.85,174,178,2nd,Imam-ul-Haq,74,Mohammad Wasim Jr,3,Win
99,2018-07-10,2018,ODI,Australia,Multan Cricket Stadium,Pakistan,Bat,1st,355,3,8,16.6,21.39,355,361,2nd,Mohammad Rizwan,153,Naseem Shah,4,Loss
100,2018-07-28,2018,T20,South Africa,Dubai International,South Africa,Field,1st,184,3,6,5.5,33.45,184,157,1st,Abdullah Shafique,56,Shadab Khan,3,Win
101,2018-08-17,2018,ODI,New Zealand,Sharjah Cricket Stadium,New Zealand,Field,1st,280,10,8,50.0,5.6,280,281,2nd,Saud Shakeel,95,Shaheen Afridi,1,Loss
102,2018-08-24,2018,T20,Australia,Rawalpindi Cricket Stadium,Pakistan,Bat,1st,133,10,6,20.0,6.65,133,106,1st,Babar Azam,53,Shadab Khan,2,Win
103,2018-09-18,2018,ODI,Bangladesh,Sharjah Cricket Stadium,Pakistan,Bat,1st,268,5,8,25.4,10.55,268,244,1st,Imam-ul-Haq,104,Shadab Khan,5,Win
104,2018-11-19,2018,Test,Australia,Rawalpindi Cricket Stadium,Pakistan,Field,2nd,352,10,9,86.3,4.08,372,352,1st,Imam-ul-Haq,114,Shadab Khan,4,Loss
105,2018-11-20,2018,Test,Zimbabwe,Abu Dhabi (ADSS),Zimbabwe,Bat,2nd,270,9,9,76.5,3.53,261,270,2nd,Babar Azam,81,Shaheen Afridi,5,Win
106,2018-11-23,2018,Test,New Zealand,Basin Reserve,New Zealand,Field,1st,217,8,8,122.5,1.77,217,222,2nd,Imam-ul-Haq,59,Zaman Khan,4,Loss
107,2018-12-11,2018,T20,Zimbabwe,Dubai International,Pakistan,Field,2nd,166,8,3,15.9,10.44,163,166,2nd,Abdullah Shafique,39,Imad Wasim,1,Win
108,2018-12-16,2018,Test,Australia,Lahore (Gaddafi),Australia,Field,1st,346,6,2,79.0,4.38,346,321,1st,Mohammad Rizwan,129,Mohammad Wasim Jr,2,Win
109,2018-12-18,2018,Test,New Zealand,MCG,New Zealand,Bat,2nd,437,5,8,119.0,3.67,454,437,1st,Abdullah Shafique,184,Zaman Khan,2,Loss
110,2018-12-27,2018,Test,Zimbabwe,MCG,Pakistan,Field,2nd,306,7,6,110.8,2.76,296,306,2nd,Imam-ul-Haq,109,Haris Rauf,4,Win
111,2019-01-08,2019,Test,India,Dubai International,Pakistan,Bat,1st,432,5,3,57.5,7.51,432,398,1st,Saud Shakeel,180,Naseem Shah,2,Win
112,2019-01-14,2019,Test,Australia,Lahore (Gaddafi),Australia,Field,1st,177,10,6,93.6,1.89,177,179,2nd,Saud Shakeel,67,Shaheen Afridi,6,Loss
113,2019-01-22,2019,T20,Sri Lanka,Lord's,Pakistan,Field,2nd,153,9,3,17.0,9.0,0,153,None,Shan Masood,65,Shaheen Afridi,3,No Result
114,2019-01-22,2019,ODI,Zimbabwe,Wanderers,Zimbabwe,Bat,2nd,267,9,4,45.9,5.82,259,267,2nd,Imam-ul-Haq,74,Haris Rauf,2,Win
115,2019-02-01,2019,T20,Bangladesh,Wanderers,Bangladesh,Field,1st,139,3,5,8.3,16.75,139,105,1st,Saud Shakeel,34,Haris Rauf,4,Win
116,2019-02-04,2019,T20,Australia,Multan Cricket Stadium,Pakistan,Bat,1st,156,6,3,12.4,12.58,156,169,2nd,Mohammad Rizwan,48,Abrar Ahmed,3,Loss
117,2019-02-06,2019,Test,New Zealand,Multan Cricket Stadium,New Zealand,Bat,2nd,441,5,7,116.0,3.8,438,441,2nd,Babar Azam,185,Shadab Khan,2,Win
118,2019-02-06,2019,ODI,England,Karachi (NSK),Pakistan,Field,2nd,254,7,7,32.2,7.89,272,254,1st,Salman Agha,79,Shadab Khan,3,Loss
119,2019-02-16,2019,ODI,South Africa,MCG,Pakistan,Field,2nd,227,3,4,13.1,17.33,249,227,1st,Saud Shakeel,63,Shadab Khan,2,Loss
120,2019-03-03,2019,Test,Bangladesh,Abu Dhabi (ADSS),Pakistan,Bat,1st,338,6,9,79.8,4.24,338,338,None,Saud Shakeel,118,Shaheen Afridi,3,Draw
121,2019-03-06,2019,T20,Sri Lanka,MCG,Pakistan,Field,2nd,171,4,3,8.7,19.66,194,171,1st,Babar Azam,44,Haris Rauf,3,Loss
122,2019-03-10,2019,Test,Bangladesh,Dubai International,Pakistan,Bat,1st,357,5,9,72.9,4.9,357,314,1st,Abdullah Shafique,168,Shadab Khan,2,Win
123,2019-03-14,2019,T20,Sri Lanka,Multan Cricket Stadium,Sri Lanka,Field,1st,131,8,3,16.4,7.99,131,112,1st,Imam-ul-Haq,41,Haris Rauf,3,Win
124,2019-03-14,2019,Test,Bangladesh,Lord's,Pakistan,Bat,1st,333,8,6,85.3,3.9,333,335,2nd,Saud Shakeel,149,Haris Rauf,4,Loss
125,2019-03-16,2019,Test,Bangladesh,Karachi (NSK),Pakistan,Bat,1st,375,4,8,84.2,4.45,375,334,1st,Fakhar Zaman,141,Naseem Shah,1,Win
126,2019-04-04,2019,Test,Afghanistan,Basin Reserve,Pakistan,Bat,1st,444,5,4,85.1,5.22,444,446,2nd,Salman Agha,177,Shadab Khan,2,Loss
127,2019-04-06,2019,ODI,West Indies,Eden Gardens,Pakistan,Field,2nd,153,9,8,43.4,3.53,180,153,1st,Shan Masood,62,Imad Wasim,3,Loss
128,2019-04-12,2019,Test,Australia,Wanderers,Australia,Field,1st,344,4,5,70.2,4.9,344,321,1st,Mohammad Rizwan,105,Shadab Khan,4,Win
129,2019-04-27,2019,T20,New Zealand,Rawalpindi Cricket Stadium,New Zealand,Field,1st,181,8,3,14.8,12.23,181,191,2nd,Mohammad Rizwan,19,Shaheen Afridi,1,Loss
130,2019-04-28,2019,T20,India,Multan Cricket Stadium,Pakistan,Field,2nd,182,8,3,17.8,10.22,169,182,2nd,Mohammad Rizwan,65,Haris Rauf,3,Win
131,2019-04-28,2019,Test,Zimbabwe,Karachi (NSK),Zimbabwe,Field,1st,240,3,4,77.2,3.11,240,225,1st,Saud Shakeel,85,Naseem Shah,3,Win
132,2019-05-15,2019,ODI,Bangladesh,Basin Reserve,Pakistan,Field,2nd,190,4,8,23.0,8.26,220,190,1st,Salman Agha,79,Haris Rauf,3,Loss
133,2019-06-07,2019,ODI,Australia,Lahore (Gaddafi),Pakistan,Field,2nd,236,9,4,46.2,5.11,249,236,1st,Mohammad Rizwan,101,Shadab Khan,1,Loss
134,2019-06-08,2019,T20,Bangladesh,Basin Reserve,Pakistan,Bat,1st,168,7,6,14.2,11.83,168,176,2nd,Salman Agha,66,Zaman Khan,3,Loss
135,2019-06-19,2019,ODI,England,Karachi (NSK),England,Bat,2nd,335,9,5,41.1,8.15,330,335,2nd,Saud Shakeel,104,Abrar Ahmed,3,Win
136,2019-06-23,2019,Test,England,MCG,England,Bat,2nd,484,9,8,41.4,11.69,475,484,2nd,Saud Shakeel,189,Haris Rauf,3,Win
137,2019-06-26,2019,ODI,England,Multan Cricket Stadium,Pakistan,Field,2nd,258,8,6,35.7,7.23,281,258,1st,Salman Agha,131,Shadab Khan,4,Loss
138,2019-07-07,2019,ODI,Zimbabwe,Multan Cricket Stadium,Pakistan,Bat,1st,330,6,7,31.0,10.65,330,326,1st,Mohammad Rizwan,106,Naseem Shah,6,Win
139,2019-07-08,2019,ODI,Bangladesh,Karachi (NSK),Pakistan,Field,2nd,364,7,7,38.2,9.53,360,364,2nd,Fakhar Zaman,125,Naseem Shah,3,Win
140,2019-07-11,2019,ODI,Sri Lanka,Rawalpindi Cricket Stadium,Sri Lanka,Bat,2nd,339,4,9,19.9,17.04,326,339,2nd,Imam-ul-Haq,104,Naseem Shah,2,Win
141,2019-07-12,2019,ODI,Sri Lanka,Karachi (NSK),Pakistan,Field,2nd,250,6,8,28.9,8.65,248,250,2nd,Mohammad Rizwan,101,Haris Rauf,6,Win
142,2019-07-24,2019,Test,Zimbabwe,Karachi (NSK),Zimbabwe,Bat,2nd,460,10,10,50.9,9.04,473,460,1st,Salman Agha,185,Imad Wasim,3,Loss
143,2019-08-03,2019,Test,India,Multan Cricket Stadium,Pakistan,Bat,1st,328,7,6,92.4,3.55,328,311,1st,Fakhar Zaman,162,Zaman Khan,4,Win
144,2019-08-09,2019,Test,Sri Lanka,Abu Dhabi (ADSS),Pakistan,Bat,1st,410,4,8,86.2,4.76,410,380,1st,Shan Masood,167,Mohammad Wasim Jr,3,Win
145,2019-08-17,2019,Test,West Indies,Rawalpindi Cricket Stadium,West Indies,Field,1st,325,6,8,84.8,3.83,325,325,None,Saud Shakeel,111,Mohammad Wasim Jr,2,Draw
146,2019-09-02,2019,ODI,West Indies,Sharjah Cricket Stadium,West Indies,Bat,2nd,256,5,6,26.4,9.7,254,256,2nd,Mohammad Rizwan,103,Imad Wasim,4,Win
147,2019-09-13,2019,Test,West Indies,Abu Dhabi (ADSS),West Indies,Bat,2nd,217,7,7,58.0,3.74,248,217,1st,Mohammad Rizwan,87,Naseem Shah,4,Loss
148,2019-09-19,2019,ODI,Afghanistan,MCG,Pakistan,Field,2nd,244,10,5,50.0,4.88,238,244,2nd,Imam-ul-Haq,97,Haris Rauf,1,Win
149,2019-09-23,2019,T20,Sri Lanka,Basin Reserve,Sri Lanka,Bat,2nd,165,4,7,7.5,22.0,187,165,1st,Salman Agha,42,Imad Wasim,2,Loss
150,2019-09-28,2019,T20,England,Lord's,Pakistan,Field,2nd,170,4,6,8.3,20.48,0,170,None,Mohammad Rizwan,45,Zaman Khan,3,No Result
151,2019-10-03,2019,T20,Bangladesh,Lahore (Gaddafi),Pakistan,Field,2nd,200,8,4,14.9,13.42,198,200,2nd,Fakhar Zaman,104,Shadab Khan,4,Win
152,2019-10-18,2019,Test,New Zealand,Wanderers,New Zealand,Bat,2nd,515,6,10,84.4,6.1,534,515,1st,Fakhar Zaman,182,Shadab Khan,2,Loss
